model,run,image_id,category,n_points,CC,SIM,KL
gpt-5.4-mini,1,05e980,poster,40,0.22817480618323435,0.4187731926672047,1.0558496830644348
gpt-5.4-mini,2,05e980,poster,37,0.2784110153340823,0.4409369203670448,0.9975301027416764
gpt-5.4-mini,3,05a1ad,poster,41,0.0055951079624117495,0.23067194087031065,3.6315238512223416
gpt-5.4-mini,3,05e980,poster,40,0.24334095322597832,0.4156204095118403,1.006120698971286
gpt-5.4-mini,1,06256f,web,46,0.34702362912175516,0.4447843763015158,1.1415302650878398
gpt-5.4-mini,2,06256f,web,39,0.28914196835118894,0.43158040154741295,1.1598941090155088
gpt-5.4-mini,3,06256f,web,43,0.33101533933362814,0.4430180441210986,1.0935613338337764
gpt-5.4-mini,1,0632d7,desktop,46,0.41135842225846303,0.47098546625126236,1.0099056902166064
gpt-5.4-mini,3,0632d7,desktop,41,0.44469018897153056,0.47610771925405543,0.8747338262770482
gpt-5.4-mini,2,0632d7,desktop,40,0.2633116870167551,0.4221328799736248,1.3194957091789612
gpt-5.4-mini,2,0616a4,mobile,38,-0.1164537859827317,0.20601865942392678,5.493192858591801
gpt-5.4-mini,1,0616a4,mobile,45,-0.02701195917546659,0.26285166963043655,4.315819952634629
gpt-5.4-mini,3,0616a4,mobile,41,-0.043210010336627136,0.21230530689230584,5.39118598568234
gpt-5.4-mini,1,070781,web,43,0.2661683938829206,0.3572537956702809,1.42169637508773
gpt-5.4-mini,2,070781,web,44,0.2254149826929397,0.34630278912838364,1.3252979738387913
gpt-5.4-mini,3,070781,web,38,0.12076660537923495,0.3092546031041189,1.733597933393937
gpt-5.4-mini,2,0720ce,desktop,43,0.4631460300989686,0.45039718121224226,1.6980210292920126
gpt-5.4-mini,2,064f44,mobile,37,0.4017925503573774,0.4573305415827525,1.3836438985021096
gpt-5.4-mini,1,0720ce,desktop,47,0.5816470506583199,0.5086408103332852,1.0580838666495747
gpt-5.4-mini,1,064f44,mobile,39,0.32128265475985984,0.4440043905884648,1.6027644721548524
gpt-5.4-mini,3,0720ce,desktop,46,0.43174978509865014,0.4206959862380637,1.8140607859200273
gpt-5.4-mini,3,064f44,mobile,41,0.2847056921973259,0.4266307310788162,2.737671617307209
gpt-5.4-mini,2,072634,desktop,45,0.4865736286968795,0.411839534098668,1.0924437040592403
gpt-5.4-mini,1,072634,desktop,41,0.3985565475602486,0.34987844605073365,1.2851513050489676
gpt-5.4-mini,3,072634,desktop,38,0.1838118226625612,0.2774268473763877,1.921945862935096
gpt-5.4-mini,1,074c75,web,40,0.09106131649961825,0.32238848611341553,1.8518196029497995
gpt-5.4-mini,2,074c75,web,38,0.2352813891386229,0.35202739413644224,1.4840094215174777
gpt-5.4-mini,3,074c75,web,37,0.09102376276617641,0.32550835160856995,1.7869987804755616
gpt-5.4-mini,1,075286,desktop,43,0.3187701286286972,0.3246075185570096,2.338414956020187
gpt-5.4-mini,2,075286,desktop,41,0.3535045041048912,0.3590036486455892,2.200965958306492
gpt-5.4-mini,1,07950c,desktop,38,0.8129144199147392,0.5042403332045438,1.030807147511308
gpt-5.4-mini,3,075286,desktop,40,0.34369506140235007,0.36196274632660086,2.133934311452767
gpt-5.4-mini,2,07950c,desktop,40,0.6012183511016519,0.4591807812229117,1.2043948672592013
gpt-5.4-mini,3,07950c,desktop,39,0.6109801695505367,0.483275974353451,1.2678168174908426
gpt-5.4-mini,1,07a2c8,web,40,0.06905207754776213,0.2961123484073957,2.5918624837479154
gpt-5.4-mini,2,07a2c8,web,40,0.20784845981976227,0.3736819055321044,1.7829199881849664
gpt-5.4-mini,1,07b304,desktop,40,0.5495247899566487,0.4383459342326378,1.1567561648141966
gpt-5.4-mini,2,07b304,desktop,40,0.45025649088348807,0.43618722837113955,1.1675904533047734
gpt-5.4-mini,3,07a2c8,web,40,0.18939766412003906,0.3538276615592104,1.6037124523626243
gpt-5.4-mini,1,085001,poster,41,0.45794053374851895,0.4130702005473622,1.0892767965685133
gpt-5.4-mini,3,085001,poster,35,0.3917342314402418,0.3524238315306329,1.2688120329066026
gpt-5.4-mini,2,085001,poster,40,0.5038570672874989,0.4327681311553495,0.9890979727540025
gpt-5.4-mini,3,07b304,desktop,40,0.41974618563581323,0.42862588154365555,1.2853231887727432
gpt-5.4-mini,2,08a5d7,desktop,42,0.6191070688075628,0.5180879156174281,1.0553520471599993
gpt-5.4-mini,1,08a5d7,desktop,44,0.6652231687043586,0.5448683292740281,0.8754876239725138
gpt-5.4-mini,3,08a5d7,desktop,45,0.4239740974476389,0.4540080401018659,1.171940866982625
gpt-5.4-mini,2,07e9bb,mobile,39,-0.024434887434174872,0.33816381599028567,2.823622315827783
gpt-5.4-mini,1,07e9bb,mobile,30,-0.11391149011102665,0.28445147570438245,3.3557902502987713
gpt-5.4-mini,3,07e9bb,mobile,44,-0.031710450369706336,0.3464995733022941,2.5450634284003515
gpt-5.4-mini,2,08aaa5,poster,45,0.3398190716755804,0.215422109596832,2.1046110616128124
gpt-5.4-mini,1,08aaa5,poster,40,0.4246068162919834,0.28958932591702513,1.6894763693273562
gpt-5.4-mini,3,08aaa5,poster,42,0.23442643384993506,0.2280900001403479,2.466818356663428
gpt-5.4-mini,1,08d1eb,desktop,40,0.23531136495371469,0.3595736014806235,1.675121510744563
gpt-5.4-mini,2,08d1eb,desktop,40,0.15562809843139586,0.3374623986411272,2.1771735746121985
gpt-5.4-mini,3,08d1eb,desktop,41,0.2134964108656953,0.34956912782000804,1.668307824349816
gpt-5.4-mini,1,08d885,mobile,41,0.08432223959166837,0.3665694520550876,1.1871928381964911
gpt-5.4-mini,2,08d885,mobile,40,0.44991621126449977,0.47486513685752024,0.8406410239003359
gpt-5.4-mini,3,08d885,mobile,40,0.5495910028299158,0.5241860728292052,0.6998893399625161
gpt-5.4-mini,1,08b92b,poster,40,0.3228149524332289,0.4053041563315948,1.8745275752131565
gpt-5.4-mini,2,08b92b,poster,41,0.411125028220355,0.4478477705532089,1.620428530525889
gpt-5.4-mini,3,08b92b,poster,43,0.3694898122046205,0.41296331991011803,2.565023935647214
