model,run,image_id,category,n_points,CC,SIM,KL,NSS,AUC,CC_partial
gpt-5.4,8,587857,mobile,40,0.3754204415963287,0.46578100072094397,2.5333286735069587,0.5322944180601978,0.6978765611722223,0.32383339267633326
gpt-5.4,5,587857,mobile,40,0.32391366748191486,0.4182962916699322,2.164938564934021,0.5942718762395997,0.7171482605163877,0.28764142933196296
gpt-5.4,6,587857,mobile,40,0.30990257229205004,0.4260449254426864,3.0087315091265294,0.3729148509615463,0.6408177383098012,0.27979732932151985
gpt-5.4,7,587857,mobile,40,0.3246644799797761,0.4443422609706466,2.1202504384331915,0.44968912627581936,0.7255087338021269,0.26477653458715267
gpt-5.4,10,587857,mobile,44,0.3947534390077645,0.47952727612362944,1.843097784297869,0.6000823978280365,0.7248568324330497,0.35405129363030485
gpt-5.4,9,587857,mobile,40,0.24941878163196077,0.4070992180706454,2.9303571670771915,0.32789998999940617,0.6317755085001324,0.21097147422317813
gpt-5.4,3,58b56c,mobile,48,0.40136496971142577,0.4802302435173673,1.6567318072243746,0.48689094940021727,0.6418951073249707,0.32120880141575625
gpt-5.4,2,58b56c,mobile,44,0.3745091012902826,0.4281522626495069,1.9246382621038243,0.5679925906698063,0.6706809758902367,0.33655524519386426
gpt-5.4,1,58b56c,mobile,42,0.47316472845778257,0.4997622513511036,2.1504206657077805,0.753274866909446,0.6963566942932152,0.4663352510521837
gpt-5.4,6,58b56c,mobile,44,0.4183351585206989,0.4781163452698522,1.694455633180058,0.5002534605823313,0.6611945795479311,0.33973340242827466
gpt-5.4,4,58b56c,mobile,45,0.5583096417567064,0.5501046770717067,1.5947820638930648,0.8344157974666244,0.7199496165645753,0.5385920748937678
gpt-5.4,5,58b56c,mobile,45,0.49635064214924696,0.5089380903776349,1.6785400008973026,0.5976147217330438,0.6875836163963658,0.4460202022000273
gpt-5.4,1,5a6a69,desktop,48,0.3389660969642038,0.48237110483204154,1.377724860370213,0.5506258697703376,0.667150634320087,0.32156712197950393
gpt-5.4,7,58b56c,mobile,47,0.46708876867984406,0.5172160788646407,1.5626162203947405,0.5824349873032244,0.6860235069342823,0.40115678466717475
gpt-5.4,2,5a6a69,desktop,42,0.3391765143846197,0.4892205106165748,1.1975443731893827,0.6067049430154776,0.6822583664951654,0.3408519424356214
gpt-5.4,3,5a6a69,desktop,40,0.4795315734832544,0.5285072168416822,1.0809258129781127,0.8160628222449252,0.7211270223352066,0.4467415664936438
gpt-5.4,4,5a6a69,desktop,40,0.4890601350463862,0.5415622219977372,1.1160009808562017,0.7859285421276412,0.7143532318304147,0.45571396751643806
gpt-5.4,8,58b56c,mobile,48,0.6032900119471533,0.5627776118021809,1.4444301773241424,0.9545174548063852,0.7540173000490701,0.5956244499927454
gpt-5.4,6,5a6a69,desktop,40,0.3638551257272865,0.5138984423851383,1.1481840018422886,0.6226460039653438,0.6980516565395645,0.3555063828344993
gpt-5.4,5,5a6a69,desktop,40,0.43262525345860703,0.5190924728199493,1.0161404483788847,0.6913331653849101,0.7047584908857136,0.4250080769570786
gpt-5.4,10,5a6a69,desktop,44,0.3808135539229739,0.5024052887561392,1.0528543595848614,0.6266823286735338,0.699120039235984,0.3380604487478681
