model,image_id,category,sigma,CC,SIM,KL
claude-opus-4.6,33cc24,desktop,20.0,0.3365053265856678,0.3458382701690522,2.782688579389143
claude-opus-4.6,33cc24,desktop,40.0,0.4614543911329674,0.4448573720756178,1.0459896983283523
claude-opus-4.6,33cc24,desktop,60.0,0.4965169954524486,0.4647836208525854,0.8970506620687385
claude-opus-4.6,0eef1f,desktop,20.0,0.49672134283235714,0.4296478288472214,2.5837764553738136
claude-opus-4.6,0eef1f,desktop,40.0,0.6004381310004113,0.5445419918191865,0.9043231351807749
claude-opus-4.6,0eef1f,desktop,60.0,0.6001697377556556,0.5530627886690118,0.7009710027813808
claude-opus-4.6,333ba8,desktop,20.0,0.3615741427378856,0.42187737889993726,3.1997155704142237
claude-opus-4.6,333ba8,desktop,40.0,0.4864681428571538,0.5510488855805351,1.4398630701947646
claude-opus-4.6,333ba8,desktop,60.0,0.48916757290749885,0.5322884259572666,0.9814017258991535
claude-opus-4.6,c75e3e,mobile,20.0,0.46686905816726976,0.5223808484544263,2.247737471472112
claude-opus-4.6,c75e3e,mobile,40.0,0.6028522976615237,0.653518708965426,1.2658624931121998
claude-opus-4.6,c75e3e,mobile,60.0,0.5831496894634942,0.655776061297085,0.8069791733001287
claude-opus-4.6,f657ff,mobile,20.0,0.08777968605276734,0.20641088026027726,5.485830176806819
claude-opus-4.6,f657ff,mobile,40.0,0.15426698031333896,0.3225510613003641,2.548841885442674
claude-opus-4.6,f657ff,mobile,60.0,0.1759492508338017,0.3468987085424202,1.633460895898401
claude-opus-4.6,964429,mobile,20.0,0.1401738084433724,0.22345241314578929,5.0991953223973585
claude-opus-4.6,964429,mobile,40.0,0.27691042730490145,0.4372197671821134,1.916944476551865
claude-opus-4.6,964429,mobile,60.0,0.3707448324383308,0.5356293425684191,0.9553534567132681
claude-opus-4.6,51fd1b,mobile,20.0,0.13232958363877356,0.22107646139620463,5.269866264693636
claude-opus-4.6,51fd1b,mobile,40.0,0.23990888306676658,0.4073187014330995,2.2233101376026356
claude-opus-4.6,51fd1b,mobile,60.0,0.2979948832158749,0.4854935974316798,1.0950899152347002
claude-opus-4.6,49e81b,mobile,20.0,0.12867299025706963,0.21423327295806777,5.068565845878947
claude-opus-4.6,49e81b,mobile,40.0,0.26210831193514394,0.4221330725255177,1.9161509061417106
claude-opus-4.6,49e81b,mobile,60.0,0.34289669748316404,0.48659618066617016,1.0414123709141412
claude-opus-4.6,86d1d4,mobile,20.0,0.041560586813155886,0.14047228967118075,6.810418201988586
claude-opus-4.6,86d1d4,mobile,40.0,0.06723092166581698,0.2832691057766663,3.9200428514889207
claude-opus-4.6,86d1d4,mobile,60.0,0.07321709237792731,0.3813990829576587,2.261827979975672
claude-opus-4.6,a4d2a8,mobile,20.0,0.6734134483960647,0.6199662004594123,0.9716783073429002
